Obec,Okres,Kand. stran,Obyvatel,Strana,Procent
Praha-Dolní Měcholupy,1100,4,2993,"Sdružení ODS, TOP 09 a nezávislých kandidátů",55.57
Lomnice nad Popelkou,5104,5,5553,Nezávislí kandidáti Lomnicka,55.5
Praha 7,1100,8,44034,PRAHA 7 SOBĚ,55.48
Proseč,5301,3,2076,ZA LEPŠÍ PROSEČ,55.4
Brno-Medlánky,6202,7,5327,Občané pro Medlánky,55.1
Zastávka,6203,3,2539,Máme rádi Zastávku,54.86
Petrovice u Karviné,8103,6,5410,Česká strana sociálně demokratická,54.54
Trojanovice,8104,5,2592,NAŠE BESKYDY - sdružení nezávislých kandidátů,54.46
Chlumčany,3204,3,2379,""" PRO ROZVOJ OBCE CHLUMČANY """,54.16
Bělkovice-Lašťany,7102,4,2295,Občané pro občany Bělkovice-Lašťany,54.13
Bolatice,8105,5,4462,Společně pro Bolatice a Borovou,53.83
Velké Hamry,5102,3,2670,HAMROVÁCI 2010,53.53
Praha-Satalice,1100,5,2515,STAROSTOVÉ A NEZÁVISLÍ,53.52
Milín,2111,4,2136,Volba pro Milín,53.4
České Velenice,3103,3,3465,Veleničtí nezávislí,52.54
Kunštát,6201,3,2757,Česká strana sociálně demokratická,52.35
Králův Dvůr,2102,8,8887,Občanská demokratická strana,52.34
Horní Bludovice,8103,5,2385,NEZÁVISLÍ - Horní Bludovice,52.28
Kadaň,4202,7,18015,Občanská demokratická strana,52.22
Zdounky,7201,4,2119,Sdružení nezávislých kandidátů obce Zdounky,52.21
Kamenný Újezd,3101,7,2352,Občanská demokratická strana,52.16
Říčany,2109,5,15448,Klidné město,52.13
Šenov u Nového Jičína,8104,4,2086,Česká strana sociálně demokratická,51.9
Hodkovice nad Mohelkou,5103,4,2888,BUDOUCNOST PRO HODKOVICE,51.88
Jiříkov,4201,6,3648,NEZÁVISLÍ KANDIDÁTI MĚSTA JIŘÍKOVA,51.62
Desná,5102,5,3134,Sdružení pro DESNOU,51.62
Polešovice,7202,3,2019,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ POLEŠOVICE,51.42
Letohrad,5304,7,6315,Sdružení pro Letohradsko,51.32
Praha-Zbraslav,1100,8,9930,100pro Zbraslav,51.17
Strakonice,3106,14,22888,Strakonická Veřejnost,51.15
Dobřany,3204,8,6175,",,Aktivní Dobřany""",51.03
Polanka nad Odrou,8106,6,4991,Sdružení nezávislých kandidátů Polanka nad Odrou,50.65
Solnice,5204,3,2194,Sdružení nezávislých kandidátů Solnice,50.53
Třemošnice,5301,5,3070,SNK Evropští demokraté,50.49
Svatobořice-Mistřín,6205,4,3548,Sdružení nezávislých kandidátů Svatobořice-Mistřín,50.13
Nová Bystřice,3103,3,3309,Česká strana sociálně demokratická,50.12
Strašice,3206,4,2534,Občanská demokratická strana,50.08
