NSTRANA, ZKRATKAN8
1,KDU-ČSL
2,ČSNS
4,LDS
5,SZ
7,ČSSD
8,PŽS
9,NEI
10,ČSHI
13,ODA
16,ONR
17,HZ
21,RSZML
24,KONS
26,DUZS
29,SSD
30,POZD
31,SED
33,OSA
37,SDL
38,SOK
40,KAN
46,MNS
47,KSČM
50,PSŽM
51,NDS
53,ODS
55,KČ
68,MDS
72,COEX
74,SDS
76,ČSS
77,ČP
79,ND
80,NK
83,Moravané
86,IO
88,NEZ
93,KSČ
98,PB
100,HS
103,SOS
109,ZHN
110,DRS
111,PVP
112,HNHRM
113,VPM
114,HPH
115,NSOB
119,USZ
121,NP
123,ČHNJ
125,UPE
129,SNK ED
132,ANEO
136,T2020
137,Rozumní
140,BPS
141,KSH
142,SZSP
143,SD-SN
144,VV
145,J 21 S
147,ML
148,SONOB
151,HOB
154,VOS
155,DOMOV
156,DSSS
158,SN
159,SP
161,SvOS
163,NV
164,ESDS
166,STAN
167,HNPD
169,FiS
170,RDSS
172,NEZ/DEM
174,HpT
175,ČSNS2005
176,S.O.S.PRAHA
177,"Z"
179,Sedma
181,Nestran.
182,KOA
183,AO
184,HLŘ
188,PSS
190,OHMO
192,HLAVU VZHŮRU
193,VpMB
195,HPP 11
197,NO!
199,KH
200,DK
701,Doktoři
702,ALTERNATIVA
703,SLK
704,S.cz
708,SEZ
710,LSL
711,LAP
714,Svobodní
715,DSZ
716,SsČR
717,ČPST
718,Občané
719,HZTZ.CZ
720,Piráti
721,TOP 09
724,SPO
725,Victoria
726,NI
727,VPK
728,ProTR
729,PTH
731,ŽB
732,NH
733,"VO"
734,OMMO
735,N-BÍLINA
736,RSČMS
737,"ČNEZ"
738,Jundrováci
739,KPP
740,SDeO
741,HNVRS
742,SV
743,OCJJ
744,PP
745,BSD
747,B10.cz
749,KA14
750,DPD
752,ZH
753,"HOPB"
755,Ostravak
756,ČSR
757,SNH
759,ČS
761,SPE
762,OBČANÉ 2011
763,SGO
764,LEV 21
765,"MAXIM"
766,"JIH 12"
767,SRP
768,ANO
769,VIZE
770,VČ
771,Změna
772,HOZK
773,S2012
774,PRO
775,ZVUK 12
776,PATRIOTI
777,Češi
778,M.O.R.
779,STO
780,NBPLK
781,VL21
782,FairPlay
783,Čssr
784,ZEDEM
785,PSZ
786,OS
787,SNOP13
788,OČR
789,SDFB
790,PPL
791,HPP
792,Úsvit
793,NOS
794,RDS
795,LES
796,Ú
797,Z21
799,NMFM
997,Poslanci
998,Senátoři
999,Občan
1001,ABS
1002,Republika
1003,APPlzeň.cz
1004,VPP
1005,evropani
1006,O.K. strana
1007,HDP
1008,Pražané
1009,JM-ND
1010,HSS
1011,TOR
1012,UFO
1013,Obroda
1014,OPL
1015,Můj domov
1016,HRAD.PATRIOTI
1017,NS
1018,PHV
1019,SPOLU
1020,PV
1021,ČÚNL
1022,OPAT
1023,PATRIOT 2014
1024,Hora 2014
1025,TnT
1026,ŽTB
1027,OF
1028,KVC
1029,FraM
1030,Podpora
1031,SOL
1032,MBN
1033,PPS
1034,SPOS
1035,SMĚR - CS
1036,MPV
1037,Karviňáci
1038,KOZY
1039,ProOl
1040,JSNS
1041,SPDV
1042,"HPK"
1043,NPP10-HPLD
1044,"HDK"
1045,VZ
1046,"OSN"
1047,SPOLEHNUTÍ
1048,"13tka"
1049,HDK
1051,RESTART
1052,R2014
1053,VvD
1055,ŠpD
1056,HOP
1061,DOMA
1062,Hnutí PROČ
1063,MODES
1064,SVAZ
1065,PZ
